,id,anchor,target,context,score,input
0,37d61fd2272659b1,abatement,abatement of pollution,A47,0.5,TEXT1: A47; TEXT2: abatement of pollution; ANC1: abatement
25,ee25d53aac9ecaf0,abatement,abatement apparatus,C01,0.5,TEXT1: C01; TEXT2: abatement apparatus; ANC1: abatement
26,4fd7d0a3b8887846,abatement,treatment,F16,0.0,TEXT1: F16; TEXT2: treatment; ANC1: abatement
27,506f8d0a6feae789,abatement,abatement apparatus,F24,0.5,TEXT1: F24; TEXT2: abatement apparatus; ANC1: abatement
28,473137168ebf7484,abatement,abating,F24,1.0,TEXT1: F24; TEXT2: abating; ANC1: abatement
29,56acc49e0f5da095,abatement,central hub,F24,0.0,TEXT1: F24; TEXT2: central hub; ANC1: abatement
30,bc5af15a01442792,abatement,control panel,F24,0.0,TEXT1: F24; TEXT2: control panel; ANC1: abatement
31,c652ac20bb14b2b0,abatement,deficiency,F24,0.25,TEXT1: F24; TEXT2: deficiency; ANC1: abatement
32,f0b0f0898ec291eb,abatement,diminished chord,F24,0.0,TEXT1: F24; TEXT2: diminished chord; ANC1: abatement
33,4bb652c1091f3d1d,abatement,diminished image,F24,0.0,TEXT1: F24; TEXT2: diminished image; ANC1: abatement
34,142436708875e523,abatement,diminishing,F24,0.5,TEXT1: F24; TEXT2: diminishing; ANC1: abatement
35,b539d0f45bff2213,abatement,eliminating,F24,0.5,TEXT1: F24; TEXT2: eliminating; ANC1: abatement
36,fde22bfb2f89383c,abatement,eliminating emissions,F24,0.25,TEXT1: F24; TEXT2: eliminating emissions; ANC1: abatement
37,e490558573ed44ff,abatement,eliminating pollutants,F24,0.5,TEXT1: F24; TEXT2: eliminating pollutants; ANC1: abatement
38,62dbb14376eb40ac,abatement,increasing,F24,0.25,TEXT1: F24; TEXT2: increasing; ANC1: abatement
39,13b13c212a1756f5,abatement,increasing order,F24,0.0,TEXT1: F24; TEXT2: increasing order; ANC1: abatement
40,8524aecd17299b63,abatement,mitigation,F24,0.25,TEXT1: F24; TEXT2: mitigation; ANC1: abatement
41,f1c655d247630730,abatement,pollution control,F24,0.25,TEXT1: F24; TEXT2: pollution control; ANC1: abatement
42,6917b6123c373233,abatement,processing unit,F24,0.0,TEXT1: F24; TEXT2: processing unit; ANC1: abatement
43,7ab0bc7f2b94c401,abatement,removing air pollutants,F24,0.5,TEXT1: F24; TEXT2: removing air pollutants; ANC1: abatement
44,4d9fb5ff45c8ab1d,abatement,subsiding,F24,0.5,TEXT1: F24; TEXT2: subsiding; ANC1: abatement
45,1d4a73e6a5e56a01,abatement,treating emissions,F24,0.5,TEXT1: F24; TEXT2: treating emissions; ANC1: abatement
46,98a851a58d837fb0,abatement,noise abatement,F28,0.5,TEXT1: F28; TEXT2: noise abatement; ANC1: abatement
47,09db0a872aa1d88c,abatement,noise abatement,H01,0.5,TEXT1: H01; TEXT2: noise abatement; ANC1: abatement
48,6bdd1d05ffa3401e,abatement,emission abatement,H04,0.5,TEXT1: H04; TEXT2: emission abatement; ANC1: abatement
49,8ff16a96af7558f0,abnormal position,abnormal position data,B23,0.5,TEXT1: B23; TEXT2: abnormal position data; ANC1: abnormal position
50,edfb98a9ff1d471b,abnormal position,attitude,B23,0.25,TEXT1: B23; TEXT2: attitude; ANC1: abnormal position
51,5fd26b0436ca8d94,abnormal position,closed position shown,B23,0.25,TEXT1: B23; TEXT2: closed position shown; ANC1: abnormal position
52,0d32e5f72293247d,abnormal position,condition illustrated,B23,0.25,TEXT1: B23; TEXT2: condition illustrated; ANC1: abnormal position
53,8aedbf799717e3e7,abnormal position,condition shown,B23,0.25,TEXT1: B23; TEXT2: condition shown; ANC1: abnormal position
54,856cef1a4eefc3aa,abnormal position,data,B23,0.25,TEXT1: B23; TEXT2: data; ANC1: abnormal position
55,285e870def5f465e,abnormal position,information,B23,0.25,TEXT1: B23; TEXT2: information; ANC1: abnormal position
56,903348f5bf47757f,abnormal position,inoperative condition,B23,0.5,TEXT1: B23; TEXT2: inoperative condition; ANC1: abnormal position
57,89b44fe4b2014455,abnormal position,inoperative position,B23,0.5,TEXT1: B23; TEXT2: inoperative position; ANC1: abnormal position
58,bf372a0f3662e295,abnormal position,open as shown,B23,0.25,TEXT1: B23; TEXT2: open as shown; ANC1: abnormal position
59,4d0b732250d2940d,abnormal position,open condition,B23,0.25,TEXT1: B23; TEXT2: open condition; ANC1: abnormal position
60,611645de95674898,abnormal position,open position,B23,0.25,TEXT1: B23; TEXT2: open position; ANC1: abnormal position
61,b4fc3daf3fc2430b,abnormal position,open position illustrated,B23,0.25,TEXT1: B23; TEXT2: open position illustrated; ANC1: abnormal position
62,392c5b8b62adf22d,abnormal position,open position shown,B23,0.25,TEXT1: B23; TEXT2: open position shown; ANC1: abnormal position
63,0bad0cd5213fb783,abnormal position,orientation,B23,0.25,TEXT1: B23; TEXT2: orientation; ANC1: abnormal position
64,6445620272b7dd75,abnormal position,position illustrated,B23,0.25,TEXT1: B23; TEXT2: position illustrated; ANC1: abnormal position
65,93e12fb8f2b9ff44,abnormal position,position shown,B23,0.25,TEXT1: B23; TEXT2: position shown; ANC1: abnormal position
66,89f5d02f1f35a796,abnormal position,tip data,B23,0.25,TEXT1: B23; TEXT2: tip data; ANC1: abnormal position
67,6e89c332c3bc6310,abnormal position,tip information,B23,0.25,TEXT1: B23; TEXT2: tip information; ANC1: abnormal position
68,7ce7ec17ae212bfd,abnormal position,wear data,B23,0.25,TEXT1: B23; TEXT2: wear data; ANC1: abnormal position
69,a3d868244b35909c,abnormal position,angular position,B41,0.25,TEXT1: B41; TEXT2: angular position; ANC1: abnormal position
70,9c0105f34aedca0d,abnormal position,positions,B41,0.5,TEXT1: B41; TEXT2: positions; ANC1: abnormal position
71,86f51d5b4f88f1c9,abnormal position,abnormal breathing,D03,0.0,TEXT1: D03; TEXT2: abnormal breathing; ANC1: abnormal position
72,3c23fa5c3894d9f2,abnormal position,abnormal manner,D03,0.5,TEXT1: D03; TEXT2: abnormal manner; ANC1: abnormal position
73,80126fcecd1c57c9,abnormal position,abnormal placement,D03,0.75,TEXT1: D03; TEXT2: abnormal placement; ANC1: abnormal position
74,0ff1349355ce5b66,abnormal position,abnormal posture,D03,0.75,TEXT1: D03; TEXT2: abnormal posture; ANC1: abnormal position
75,cf244c76da9b3383,abnormal position,abnormal profit,D03,0.0,TEXT1: D03; TEXT2: abnormal profit; ANC1: abnormal position
76,3e410ad7a4a355ff,abnormal position,abnormal side,D03,0.75,TEXT1: D03; TEXT2: abnormal side; ANC1: abnormal position
77,ba4ffdf9c7abdd05,abnormal position,anomaly scan,D03,0.0,TEXT1: D03; TEXT2: anomaly scan; ANC1: abnormal position
78,6756c97d8e854f4e,abnormal position,depression,D03,0.25,TEXT1: D03; TEXT2: depression; ANC1: abnormal position
79,bbb1ad23807f952a,abnormal position,deviated from,D03,0.25,TEXT1: D03; TEXT2: deviated from; ANC1: abnormal position
80,f13ef1f56df101a5,abnormal position,engagement,D03,0.25,TEXT1: D03; TEXT2: engagement; ANC1: abnormal position
81,3db26a1f4e165795,abnormal position,implant positioning,D03,0.0,TEXT1: D03; TEXT2: implant positioning; ANC1: abnormal position
82,24257e1b2f5ff283,abnormal position,irregular configuration,D03,0.5,TEXT1: D03; TEXT2: irregular configuration; ANC1: abnormal position
83,4f8d18e7ee6f98e9,abnormal position,locked position,D03,0.5,TEXT1: D03; TEXT2: locked position; ANC1: abnormal position
84,7e1e95ee1391c3c7,abnormal position,locked relationship,D03,0.25,TEXT1: D03; TEXT2: locked relationship; ANC1: abnormal position
85,9c1bdf2239b0e910,abnormal position,normal position,D03,0.25,TEXT1: D03; TEXT2: normal position; ANC1: abnormal position
86,29de10bbd3f15b11,abnormal position,odd position,D03,0.75,TEXT1: D03; TEXT2: odd position; ANC1: abnormal position
87,57a026611dddb7b9,abnormal position,place,D03,0.25,TEXT1: D03; TEXT2: place; ANC1: abnormal position
88,8fb46bccf1c86c33,abnormal position,position,D03,0.25,TEXT1: D03; TEXT2: position; ANC1: abnormal position
89,7b16ec4481a25536,abnormal position,position isomerism,D03,0.0,TEXT1: D03; TEXT2: position isomerism; ANC1: abnormal position
90,115dcdbc38948359,abnormal position,position vector,D03,0.0,TEXT1: D03; TEXT2: position vector; ANC1: abnormal position
91,0e8238c34746f7c4,abnormal position,rare placement,D03,0.25,TEXT1: D03; TEXT2: rare placement; ANC1: abnormal position
92,1ae1c093187e3b73,abnormal position,recess,D03,0.0,TEXT1: D03; TEXT2: recess; ANC1: abnormal position
93,fe30aa28e8d0563a,abnormal position,relative position,D03,0.5,TEXT1: D03; TEXT2: relative position; ANC1: abnormal position
94,ea12e2954b85c599,abnormal position,relative relationship,D03,0.25,TEXT1: D03; TEXT2: relative relationship; ANC1: abnormal position
95,4285cdf2221cc6d5,abnormal position,situation,D03,0.25,TEXT1: D03; TEXT2: situation; ANC1: abnormal position
96,f6b53890ef57f9c5,abnormal position,unexpected position,D03,0.75,TEXT1: D03; TEXT2: unexpected position; ANC1: abnormal position
97,414373bc5329e819,abnormal position,unison,D03,0.0,TEXT1: D03; TEXT2: unison; ANC1: abnormal position
98,d2304657a1e12333,abnormal position,unusal arrangement,D03,0.5,TEXT1: D03; TEXT2: unusal arrangement; ANC1: abnormal position
99,c4b30e7b8e853b87,abnormal position,unusual manner,D03,0.25,TEXT1: D03; TEXT2: unusual manner; ANC1: abnormal position
100,d32b4f6cdf710e0a,abnormal position,abnormal,E03,0.5,TEXT1: E03; TEXT2: abnormal; ANC1: abnormal position
101,20d74695a08952db,abnormal position,abnormal condition,E03,0.75,TEXT1: E03; TEXT2: abnormal condition; ANC1: abnormal position
102,f8a028167a0aad23,abnormal position,abnormal molar mass,E03,0.0,TEXT1: E03; TEXT2: abnormal molar mass; ANC1: abnormal position
103,eb44d02ca330b2b5,abnormal position,abnormal presentations,E03,0.75,TEXT1: E03; TEXT2: abnormal presentations; ANC1: abnormal position
104,dccdd9c697602fad,abnormal position,abnormal psychology,E03,0.0,TEXT1: E03; TEXT2: abnormal psychology; ANC1: abnormal position
105,38f53c8ab704b32b,abnormal position,abnormality state,E03,0.75,TEXT1: E03; TEXT2: abnormality state; ANC1: abnormal position
106,44eaeb8410af02e2,abnormal position,axial position,E03,0.5,TEXT1: E03; TEXT2: axial position; ANC1: abnormal position
107,428f5e687590e685,abnormal position,elevation,E03,0.25,TEXT1: E03; TEXT2: elevation; ANC1: abnormal position
108,2b58116bbba1bef5,abnormal position,emergency condition,E03,0.5,TEXT1: E03; TEXT2: emergency condition; ANC1: abnormal position
109,52c33ea0c24771a1,abnormal position,emergency position,E03,0.75,TEXT1: E03; TEXT2: emergency position; ANC1: abnormal position
110,852386d786c57f73,abnormal position,extent,E03,0.25,TEXT1: E03; TEXT2: extent; ANC1: abnormal position
111,6de822045200c01a,abnormal position,facing forward,E03,0.75,TEXT1: E03; TEXT2: facing forward; ANC1: abnormal position
112,2908fae62ececec1,abnormal position,failure,E03,0.25,TEXT1: E03; TEXT2: failure; ANC1: abnormal position
113,bc109cbe2441d87e,abnormal position,fault position,E03,0.75,TEXT1: E03; TEXT2: fault position; ANC1: abnormal position
114,2db04a5863b16cdd,abnormal position,fixed failure,E03,0.5,TEXT1: E03; TEXT2: fixed failure; ANC1: abnormal position
115,8d8926dbdfc1568e,abnormal position,forward axis,E03,0.0,TEXT1: E03; TEXT2: forward axis; ANC1: abnormal position
116,99eb846e7f7fdbd6,abnormal position,hardware abnormality,E03,0.5,TEXT1: E03; TEXT2: hardware abnormality; ANC1: abnormal position
117,edd7a8b70dc94f43,abnormal position,hardware manufacturer,E03,0.0,TEXT1: E03; TEXT2: hardware manufacturer; ANC1: abnormal position
118,6e37e1f0890a81b2,abnormal position,inoperative position,E03,0.5,TEXT1: E03; TEXT2: inoperative position; ANC1: abnormal position
119,7e2874e997cf0e2b,abnormal position,leakage,E03,0.25,TEXT1: E03; TEXT2: leakage; ANC1: abnormal position
120,48c4b666af6f1f58,abnormal position,normal position,E03,0.25,TEXT1: E03; TEXT2: normal position; ANC1: abnormal position
121,afab4895708915b8,abnormal position,open position,E03,0.5,TEXT1: E03; TEXT2: open position; ANC1: abnormal position
122,75ac4f9a57e95ec8,abnormal position,operating abnormality,E03,0.5,TEXT1: E03; TEXT2: operating abnormality; ANC1: abnormal position
123,36b50348c1172fc2,abnormal position,operative position,E03,0.5,TEXT1: E03; TEXT2: operative position; ANC1: abnormal position
124,25442153418d7486,abnormal position,overflow,E03,0.25,TEXT1: E03; TEXT2: overflow; ANC1: abnormal position
125,5a291d8d5bd8bd6b,abnormal position,position vector,E03,0.0,TEXT1: E03; TEXT2: position vector; ANC1: abnormal position
126,0eec7490003c075a,abnormal position,state name,E03,0.0,TEXT1: E03; TEXT2: state name; ANC1: abnormal position
127,f3d68ae77bb19226,abnormal position,unusual position,E03,0.75,TEXT1: E03; TEXT2: unusual position; ANC1: abnormal position
128,ae1a01517b6386fc,abnormal position,unusual state,E03,0.25,TEXT1: E03; TEXT2: unusual state; ANC1: abnormal position
129,a21de05326bbadb8,abnormal position,upper position,E03,0.5,TEXT1: E03; TEXT2: upper position; ANC1: abnormal position
130,58e4f0268a24af9b,abnormal position,warning,E03,0.25,TEXT1: E03; TEXT2: warning; ANC1: abnormal position
131,76baf8ed4ae57ec1,absorbent properties,adsorbent properties,C08,0.5,TEXT1: C08; TEXT2: adsorbent properties; ANC1: absorbent properties
132,fc03dad16ee7e5fb,absorbent properties,cao,C08,0.25,TEXT1: C08; TEXT2: cao; ANC1: absorbent properties
133,094f2535b2f03691,absorbent properties,characterization,C08,0.25,TEXT1: C08; TEXT2: characterization; ANC1: absorbent properties
134,0b34da85b33b4126,absorbent properties,collateral properties,C08,0.0,TEXT1: C08; TEXT2: collateral properties; ANC1: absorbent properties
135,82d4d3492122a3a3,absorbent properties,colligative properties,C08,0.0,TEXT1: C08; TEXT2: colligative properties; ANC1: absorbent properties
136,3f0330f3344be46f,absorbent properties,conformational properties,C08,0.25,TEXT1: C08; TEXT2: conformational properties; ANC1: absorbent properties
137,1c506d121cb6194b,absorbent properties,dehumidifying properties,C08,0.5,TEXT1: C08; TEXT2: dehumidifying properties; ANC1: absorbent properties
138,92931b055ee01fd5,absorbent properties,elastomeric properties,C08,0.0,TEXT1: C08; TEXT2: elastomeric properties; ANC1: absorbent properties
139,84a195425e7f34d4,absorbent properties,evaporated salt,C08,0.25,TEXT1: C08; TEXT2: evaporated salt; ANC1: absorbent properties
140,1c330c48a33e82b4,absorbent properties,fluorescent properties,C08,0.0,TEXT1: C08; TEXT2: fluorescent properties; ANC1: absorbent properties
141,f7832078c30df1f5,absorbent properties,geometrical properties,C08,0.0,TEXT1: C08; TEXT2: geometrical properties; ANC1: absorbent properties
142,0e754b806271178a,absorbent properties,housing properties,C08,0.0,TEXT1: C08; TEXT2: housing properties; ANC1: absorbent properties
143,b794d431cea707b3,absorbent properties,hygroscopic,C08,0.5,TEXT1: C08; TEXT2: hygroscopic; ANC1: absorbent properties
144,bf1222d93e59ceca,absorbent properties,hygroscopic properties,C08,0.5,TEXT1: C08; TEXT2: hygroscopic properties; ANC1: absorbent properties
145,16479a99b5c37673,absorbent properties,ionic compound,C08,0.25,TEXT1: C08; TEXT2: ionic compound; ANC1: absorbent properties
146,ec050b5360ebba22,absorbent properties,liquid holding capacity,C08,0.5,TEXT1: C08; TEXT2: liquid holding capacity; ANC1: absorbent properties
147,0eba34ed68ed88b8,absorbent properties,mechanical characteristics,C08,0.25,TEXT1: C08; TEXT2: mechanical characteristics; ANC1: absorbent properties
148,ef8a6631ccd28df0,absorbent properties,mechanical properties,C08,0.25,TEXT1: C08; TEXT2: mechanical properties; ANC1: absorbent properties
149,7b42f808e08c68b2,absorbent properties,moisture barrier properties,C08,0.5,TEXT1: C08; TEXT2: moisture barrier properties; ANC1: absorbent properties
150,71ac9fcb07aaec6e,absorbent properties,moisture proof properties,C08,0.5,TEXT1: C08; TEXT2: moisture proof properties; ANC1: absorbent properties
151,2cb4f15e5861ea51,absorbent properties,nacl,C08,0.25,TEXT1: C08; TEXT2: nacl; ANC1: absorbent properties
152,762621349ef66ca1,absorbent properties,naoh,C08,0.25,TEXT1: C08; TEXT2: naoh; ANC1: absorbent properties
153,750c20ea1b72078e,absorbent properties,physical properties,C08,0.25,TEXT1: C08; TEXT2: physical properties; ANC1: absorbent properties
154,288310ffbde6450d,absorbent properties,properties,C08,0.25,TEXT1: C08; TEXT2: properties; ANC1: absorbent properties
155,8201115f67ded668,absorbent properties,reusable salt,C08,0.25,TEXT1: C08; TEXT2: reusable salt; ANC1: absorbent properties
156,437a29c073ccf68e,absorbent properties,soaking properties,C08,0.75,TEXT1: C08; TEXT2: soaking properties; ANC1: absorbent properties
157,661d7d1d8807fa6b,absorbent properties,absorbency,D01,0.75,TEXT1: D01; TEXT2: absorbency; ANC1: absorbent properties
158,621b048d70aa8867,absorbent properties,absorbent characteristics,D01,1.0,TEXT1: D01; TEXT2: absorbent characteristics; ANC1: absorbent properties
159,96f015d748e1333a,absorbent properties,absorbing polymer,D01,0.5,TEXT1: D01; TEXT2: absorbing polymer; ANC1: absorbent properties
160,e6f92889099fd908,absorbent properties,absorption characteristics,D01,0.75,TEXT1: D01; TEXT2: absorption characteristics; ANC1: absorbent properties
161,bc20a1c961cb073a,absorbent properties,absorption properties,D01,1.0,TEXT1: D01; TEXT2: absorption properties; ANC1: absorbent properties
162,8a33a8c962cf36f1,absorbent properties,adsorbent properties,D01,0.5,TEXT1: D01; TEXT2: adsorbent properties; ANC1: absorbent properties
163,718bd7b5b416af38,absorbent properties,adsorption performance,D01,0.5,TEXT1: D01; TEXT2: adsorption performance; ANC1: absorbent properties
164,9e04e83b91c5a26d,absorbent properties,capable of absorbing,D01,0.5,TEXT1: D01; TEXT2: capable of absorbing; ANC1: absorbent properties
165,7fb7109c1cb77c32,absorbent properties,characteristic,D01,0.25,TEXT1: D01; TEXT2: characteristic; ANC1: absorbent properties
166,e0e1ca90a19d93ce,absorbent properties,desiccant,D01,0.25,TEXT1: D01; TEXT2: desiccant; ANC1: absorbent properties
167,c3a71343cdd163f3,absorbent properties,dielectric properties,D01,0.0,TEXT1: D01; TEXT2: dielectric properties; ANC1: absorbent properties
168,9b4be6865a6a7d88,absorbent properties,food absorption,D01,0.0,TEXT1: D01; TEXT2: food absorption; ANC1: absorbent properties
169,4aceb34c827489b2,absorbent properties,mechanical properties,D01,0.25,TEXT1: D01; TEXT2: mechanical properties; ANC1: absorbent properties
170,9dd002fa5c1ab0b3,absorbent properties,mechanical resistance,D01,0.25,TEXT1: D01; TEXT2: mechanical resistance; ANC1: absorbent properties
171,bf87a44a7ef7986f,absorbent properties,metal properties,D01,0.0,TEXT1: D01; TEXT2: metal properties; ANC1: absorbent properties
172,4e2321fa76cac0c1,absorbent properties,moisture,D01,0.25,TEXT1: D01; TEXT2: moisture; ANC1: absorbent properties
173,6985fcc0a72d6efc,absorbent properties,optical properties,D01,0.0,TEXT1: D01; TEXT2: optical properties; ANC1: absorbent properties
174,49c355296f89e42e,absorbent properties,performance,D01,0.25,TEXT1: D01; TEXT2: performance; ANC1: absorbent properties
175,d79f949f5e767ed8,absorbent properties,physical properties,D01,0.5,TEXT1: D01; TEXT2: physical properties; ANC1: absorbent properties
176,7f71cfa3cfd274c3,absorbent properties,physical resistance,D01,0.25,TEXT1: D01; TEXT2: physical resistance; ANC1: absorbent properties
177,4c5430e37544ca9f,absorbent properties,physiological properties,D01,0.0,TEXT1: D01; TEXT2: physiological properties; ANC1: absorbent properties
178,86c37efbf9add8b4,absorbent properties,plastic properties,D01,0.0,TEXT1: D01; TEXT2: plastic properties; ANC1: absorbent properties
179,0c95ec8908cac866,absorbent properties,polymer,D01,0.25,TEXT1: D01; TEXT2: polymer; ANC1: absorbent properties
180,028faac1cefe4f7d,absorbent properties,properties,D01,0.5,TEXT1: D01; TEXT2: properties; ANC1: absorbent properties
181,ddd36c73b9ece884,absorbent properties,samples,D01,0.25,TEXT1: D01; TEXT2: samples; ANC1: absorbent properties
182,6db7ef8d8421bcac,absorbent properties,soaking,D01,0.5,TEXT1: D01; TEXT2: soaking; ANC1: absorbent properties
183,ee015d21956c9d4d,absorbent properties,soaking properties,D01,0.75,TEXT1: D01; TEXT2: soaking properties; ANC1: absorbent properties
184,ba7e30f46cf2e34b,absorbent properties,sponge,D01,0.25,TEXT1: D01; TEXT2: sponge; ANC1: absorbent properties
185,da7052634b294dbb,absorbent properties,water,D01,0.25,TEXT1: D01; TEXT2: water; ANC1: absorbent properties
186,c068f3a417547e96,absorbent properties,water penetration capacity,D01,0.75,TEXT1: D01; TEXT2: water penetration capacity; ANC1: absorbent properties
187,f9a985b9e1772f8f,absorbent properties,amount,D21,0.25,TEXT1: D21; TEXT2: amount; ANC1: absorbent properties
188,895794bda535b343,absorbent properties,formation,D21,0.25,TEXT1: D21; TEXT2: formation; ANC1: absorbent properties
189,3608a96d8c6d4ecb,absorbent properties,strength,D21,0.25,TEXT1: D21; TEXT2: strength; ANC1: absorbent properties
190,7606c6fa59a125f8,acan,aggrecan core protein,C07,0.75,TEXT1: C07; TEXT2: aggrecan core protein; ANC1: acan
191,f7b25dd02c06f8d0,acan,aggrecan core protein precursor,C07,0.75,TEXT1: C07; TEXT2: aggrecan core protein precursor; ANC1: acan
192,50a44303d260f1fc,acan,cartilage extracellular matrix,C07,0.25,TEXT1: C07; TEXT2: cartilage extracellular matrix; ANC1: acan
193,b4a7556ad626f0bc,acan,cartilage specific proteoglycan core protein,C07,0.75,TEXT1: C07; TEXT2: cartilage specific proteoglycan core protein; ANC1: acan
194,00a1e5f0484ca4c1,acan,chondroitin sulfate proteoglycan 1,C07,0.75,TEXT1: C07; TEXT2: chondroitin sulfate proteoglycan 1; ANC1: acan
195,199f0b8833011e49,acan,coding language,C07,0.0,TEXT1: C07; TEXT2: coding language; ANC1: acan
196,60a4c191bdccff4f,acan,coding languages,C07,0.0,TEXT1: C07; TEXT2: coding languages; ANC1: acan
197,dc29c774e92b0b65,acan,coding programming,C07,0.0,TEXT1: C07; TEXT2: coding programming; ANC1: acan
198,f524d90c3d85bdeb,acan,core strength,C07,0.0,TEXT1: C07; TEXT2: core strength; ANC1: acan
199,cb1cd1f70f89ecf0,acan,gene,C07,0.25,TEXT1: C07; TEXT2: gene; ANC1: acan
200,526e7b2433cfa5da,acan,genes,C07,0.25,TEXT1: C07; TEXT2: genes; ANC1: acan
201,8a5573ec16949f4b,acan,hyalectans,C07,0.5,TEXT1: C07; TEXT2: hyalectans; ANC1: acan
202,1cf08c7f43cfd1b0,acan,large aggregating proteoglycan,C07,0.75,TEXT1: C07; TEXT2: large aggregating proteoglycan; ANC1: acan
203,5c70e4760d8d8ff4,acan,lecticans,C07,0.5,TEXT1: C07; TEXT2: lecticans; ANC1: acan
204,2d7f1b3ea74e2c38,acan,machine learning,C07,0.0,TEXT1: C07; TEXT2: machine learning; ANC1: acan
205,a6dee66427c6fb90,acan,neural network,C07,0.0,TEXT1: C07; TEXT2: neural network; ANC1: acan
206,8726542c434bd282,acan,precursor,C07,0.25,TEXT1: C07; TEXT2: precursor; ANC1: acan
207,c8527b0605b19db1,acan,protein,C07,0.25,TEXT1: C07; TEXT2: protein; ANC1: acan
208,913e2562771cbb0c,acan,protein coding gene,C07,0.5,TEXT1: C07; TEXT2: protein coding gene; ANC1: acan
209,8f5ece74ab9299eb,acan,proteins,C07,0.25,TEXT1: C07; TEXT2: proteins; ANC1: acan
210,ba0d2831300d9b37,acan,proteoglycans,C07,0.25,TEXT1: C07; TEXT2: proteoglycans; ANC1: acan
211,ee26739c23fefe2b,acan,sox,C07,0.25,TEXT1: C07; TEXT2: sox; ANC1: acan
212,7ba63f8f90f24670,acan,tissue expression,C07,0.25,TEXT1: C07; TEXT2: tissue expression; ANC1: acan
213,e6d6b1713f4b3a3e,accept information,accept the establishment,A45,0.0,TEXT1: A45; TEXT2: accept the establishment; ANC1: accept information
214,1b9e8b4b43d11ca6,accept information,accept this information,A45,0.75,TEXT1: A45; TEXT2: accept this information; ANC1: accept information
215,f463e4e26cb4c3d6,accept information,acceptance angle,A45,0.0,TEXT1: A45; TEXT2: acceptance angle; ANC1: accept information
216,c94e7b08d9402064,accept information,accepting information from,A45,0.75,TEXT1: A45; TEXT2: accepting information from; ANC1: accept information
217,0c9325df3a6dde0a,accept information,approve information,A45,0.5,TEXT1: A45; TEXT2: approve information; ANC1: accept information
218,a617e96ffd84f668,accept information,authorization of information,A45,0.5,TEXT1: A45; TEXT2: authorization of information; ANC1: accept information
